F1,Indicator Code,Country ISO3,Year,Indicator,answer, Value ,Subindicator Type,Country,Region (global),Ida / Ibrd (global)
1:17,2105-IPD-A3033,GAB,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Gabon,Sub-Saharan Africa,IBRD
1:18,2105-IPD-A3033,AGO,1/1/2012,Ability to limit tax evasion,A3033, -   ,Score,Angola,Sub-Saharan Africa,IBRD
1:19,2105-IPD-A3033,HRV,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Croatia,Europe & Central Asia,IBRD
1:20,2105-IPD-A3033,HND,1/1/2016,Ability to limit tax evasion,A3033, 1.00 ,Score,Honduras,Latin America & Caribbean,IDA
1:21,2105-IPD-A3033,BIH,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Bosnia and Herzegovina,Europe & Central Asia,IBRD
1:22,2105-IPD-A3033,BRA,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Brazil,Latin America & Caribbean,IBRD
1:23,2105-IPD-A3033,TKM,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Turkmenistan,Europe & Central Asia,IBRD
1:24,2105-IPD-A3033,MEX,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Mexico,Latin America & Caribbean,IBRD
1:25,2105-IPD-A3033,MOZ,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Mozambique,Sub-Saharan Africa,IDA
1:26,2105-IPD-A3033,MUS,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Mauritius,Sub-Saharan Africa,IBRD
1:27,2105-IPD-A3033,BGD,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Bangladesh,South Asia,IDA
1:28,2105-IPD-A3033,IND,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,India,South Asia,IBRD
1:29,2105-IPD-A3033,TCD,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Chad,Sub-Saharan Africa,IDA
1:30,2105-IPD-A3033,CHL,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Chile,Latin America & Caribbean,IBRD
1:31,2105-IPD-A3033,AZE,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Azerbaijan,Europe & Central Asia,IBRD
1:32,2105-IPD-A3033,URY,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Uruguay,Latin America & Caribbean,IBRD
1:33,2105-IPD-A3033,THA,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Thailand,East Asia & Pacific,IBRD
1:34,2105-IPD-A3033,TZA,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Tanzania,Sub-Saharan Africa,IDA
1:35,2105-IPD-A3033,PAN,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Panama,Latin America & Caribbean,IBRD
1:36,2105-IPD-A3033,SOM,1/1/2012,Ability to limit tax evasion,A3033, -   ,Score,Somalia,Sub-Saharan Africa,IDA
1:37,2105-IPD-A3033,MAR,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Morocco,Middle East & North Africa,IBRD
1:38,2105-IPD-A3033,BGD,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Bangladesh,South Asia,IDA
1:39,2105-IPD-A3033,ETH,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,Ethiopia,Sub-Saharan Africa,IDA
1:40,2105-IPD-A3033,ESP,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Spain,Europe & Central Asia,..
1:41,2105-IPD-A3033,QAT,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Qatar,Middle East & North Africa,..
1:42,2105-IPD-A3033,BHR,1/1/2012,Ability to limit tax evasion,A3033, 4.00 ,Score,Bahrain,Middle East & North Africa,..
1:43,2105-IPD-A3033,ARM,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Armenia,Europe & Central Asia,IBRD
1:44,2105-IPD-A3033,RUS,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Russian Federation,Europe & Central Asia,IBRD
1:45,2105-IPD-A3033,CAF,1/1/2012,Ability to limit tax evasion,A3033, -   ,Score,Central African Republic,Sub-Saharan Africa,IDA
1:46,2105-IPD-A3033,TUN,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Tunisia,Middle East & North Africa,IBRD
1:47,2105-IPD-A3033,BWA,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Botswana,Sub-Saharan Africa,IBRD
1:48,2105-IPD-A3033,BLR,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Belarus,Europe & Central Asia,IBRD
1:49,2105-IPD-A3033,SGP,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,Singapore,East Asia & Pacific,..
1:50,2105-IPD-A3033,SVK,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Slovak Republic,Europe & Central Asia,..
1:51,2105-IPD-A3033,LBN,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Lebanon,Middle East & North Africa,IBRD
1:52,2105-IPD-A3033,DZA,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Algeria,Middle East & North Africa,IBRD
1:53,2105-IPD-A3033,MLI,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Mali,Sub-Saharan Africa,IDA
1:54,2105-IPD-A3033,AUS,1/1/2012,Ability to limit tax evasion,A3033, 4.00 ,Score,Australia,East Asia & Pacific,..
1:55,2105-IPD-A3033,MYS,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Malaysia,East Asia & Pacific,IBRD
1:56,2105-IPD-A3033,RWA,1/1/2012,Ability to limit tax evasion,A3033, 4.00 ,Score,Rwanda,Sub-Saharan Africa,IDA
1:57,2105-IPD-A3033,ARG,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Argentina,Latin America & Caribbean,IBRD
1:58,2105-IPD-A3033,DEU,1/1/2012,Ability to limit tax evasion,A3033, 4.00 ,Score,Germany,Europe & Central Asia,..
1:59,2105-IPD-A3033,BEL,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Belgium,Europe & Central Asia,..
0.083333333,2105-IPD-A3033,UKR,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Ukraine,Europe & Central Asia,IBRD
0.084027778,2105-IPD-A3033,HTI,1/1/2016,Ability to limit tax evasion,A3033, -   ,Score,Haiti,Latin America & Caribbean,IDA
0.084722222,2105-IPD-A3033,IRL,1/1/2012,Ability to limit tax evasion,A3033, 4.00 ,Score,Ireland,Europe & Central Asia,..
0.085416667,2105-IPD-A3033,LAO,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Lao PDR,East Asia & Pacific,IDA
0.086111111,2105-IPD-A3033,BRA,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Brazil,Latin America & Caribbean,IBRD
0.086805556,2105-IPD-A3033,BLR,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Belarus,Europe & Central Asia,IBRD
0.0875,2105-IPD-A3033,MDG,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Madagascar,Sub-Saharan Africa,IDA
0.088194444,2105-IPD-A3033,NAM,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Namibia,Sub-Saharan Africa,IBRD
0.088888889,2105-IPD-A3033,MOZ,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Mozambique,Sub-Saharan Africa,IDA
0.089583333,2105-IPD-A3033,KHM,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Cambodia,East Asia & Pacific,IDA
0.090277778,2105-IPD-A3033,IDN,1/1/2016,Ability to limit tax evasion,A3033, 1.00 ,Score,Indonesia,East Asia & Pacific,IBRD
0.090972222,2105-IPD-A3033,SWE,1/1/2012,Ability to limit tax evasion,A3033, 4.00 ,Score,Sweden,Europe & Central Asia,..
0.091666667,2105-IPD-A3033,IRN,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,"Iran, Islamic Rep.",Middle East & North Africa,IBRD
0.092361111,2105-IPD-A3033,TUR,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Turkey,Europe & Central Asia,IBRD
0.093055556,2105-IPD-A3033,VNM,1/1/2016,Ability to limit tax evasion,A3033, 1.00 ,Score,Vietnam,East Asia & Pacific,IBRD
0.09375,2105-IPD-A3033,HRV,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,Croatia,Europe & Central Asia,IBRD
0.094444444,2105-IPD-A3033,PHL,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Philippines,East Asia & Pacific,IBRD
0.095138889,2105-IPD-A3033,IRN,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,"Iran, Islamic Rep.",Middle East & North Africa,IBRD
0.095833333,2105-IPD-A3033,ISR,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Israel,Middle East & North Africa,..
0.096527778,2105-IPD-A3033,LTU,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Lithuania,Europe & Central Asia,..
0.097222222,2105-IPD-A3033,USA,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,United States,North America,..
0.097916667,2105-IPD-A3033,LBR,1/1/2012,Ability to limit tax evasion,A3033, -   ,Score,Liberia,Sub-Saharan Africa,IDA
0.098611111,2105-IPD-A3033,SDN,1/1/2016,Ability to limit tax evasion,A3033, 1.00 ,Score,Sudan,Sub-Saharan Africa,IDA
0.099305556,2105-IPD-A3033,MUS,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Mauritius,Sub-Saharan Africa,IBRD
0.1,2105-IPD-A3033,IDN,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Indonesia,East Asia & Pacific,IBRD
0.100694444,2105-IPD-A3033,BRN,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Brunei Darussalam,East Asia & Pacific,..
0.101388889,2105-IPD-A3033,NPL,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Nepal,South Asia,IDA
0.102083333,2105-IPD-A3033,TUR,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Turkey,Europe & Central Asia,IBRD
0.102777778,2105-IPD-A3033,CHE,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Switzerland,Europe & Central Asia,..
0.103472222,2105-IPD-A3033,BEL,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,Belgium,Europe & Central Asia,..
0.104166667,2105-IPD-A3033,SVN,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,Slovenia,Europe & Central Asia,..
0.104861111,2105-IPD-A3033,AZE,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Azerbaijan,Europe & Central Asia,IBRD
0.105555556,2105-IPD-A3033,OMN,1/1/2016,Ability to limit tax evasion,A3033, 99.00 ,Score,Oman,Middle East & North Africa,..
0.10625,2105-IPD-A3033,ECU,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Ecuador,Latin America & Caribbean,IBRD
0.106944444,2105-IPD-A3033,EST,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,Estonia,Europe & Central Asia,..
0.107638889,2105-IPD-A3033,EST,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Estonia,Europe & Central Asia,..
0.108333333,2105-IPD-A3033,JOR,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Jordan,Middle East & North Africa,IBRD
0.109027778,2105-IPD-A3033,BEN,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Benin,Sub-Saharan Africa,IDA
0.109722222,2105-IPD-A3033,NPL,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Nepal,South Asia,IDA
0.110416667,2105-IPD-A3033,VEN,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,"Venezuela, RB",Latin America & Caribbean,IBRD
0.111111111,2105-IPD-A3033,SSD,1/1/2012,Ability to limit tax evasion,A3033, -   ,Score,South Sudan,Sub-Saharan Africa,IDA
0.111805556,2105-IPD-A3033,UZB,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Uzbekistan,Europe & Central Asia,Blend
0.1125,2105-IPD-A3033,TGO,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Togo,Sub-Saharan Africa,IDA
0.113194444,2105-IPD-A3033,ITA,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Italy,Europe & Central Asia,..
0.113888889,2105-IPD-A3033,GTM,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Guatemala,Latin America & Caribbean,IBRD
0.114583333,2105-IPD-A3033,BEN,1/1/2016,Ability to limit tax evasion,A3033, 1.00 ,Score,Benin,Sub-Saharan Africa,IDA
0.115277778,2105-IPD-A3033,BOL,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Bolivia,Latin America & Caribbean,IBRD
0.115972222,2105-IPD-A3033,AUT,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,Austria,Europe & Central Asia,..
0.116666667,2105-IPD-A3033,GHA,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Ghana,Sub-Saharan Africa,IDA
0.117361111,2105-IPD-A3033,EGY,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,"Egypt, Arab Rep.",Middle East & North Africa,IBRD
0.118055556,2105-IPD-A3033,MDA,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Moldova,Europe & Central Asia,Blend
0.11875,2105-IPD-A3033,MEX,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Mexico,Latin America & Caribbean,IBRD
0.119444444,2105-IPD-A3033,MNG,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Mongolia,East Asia & Pacific,Blend
0.120138889,2105-IPD-A3033,KOR,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,"Korea, Rep.",East Asia & Pacific,..
0.120833333,2105-IPD-A3033,LKA,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Sri Lanka,South Asia,IBRD
0.121527778,2105-IPD-A3033,PER,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Peru,Latin America & Caribbean,IBRD
0.122222222,2105-IPD-A3033,RUS,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Russian Federation,Europe & Central Asia,IBRD
0.122916667,2105-IPD-A3033,CIV,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,Côte d'Ivoire,Sub-Saharan Africa,IDA
0.123611111,2105-IPD-A3033,UZB,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Uzbekistan,Europe & Central Asia,Blend
0.124305556,2105-IPD-A3033,HTI,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Haiti,Latin America & Caribbean,IDA
0.125,2105-IPD-A3033,IND,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,India,South Asia,IBRD
0.125694444,2105-IPD-A3033,DNK,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,Denmark,Europe & Central Asia,..
0.126388889,2105-IPD-A3033,SLE,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Sierra Leone,Sub-Saharan Africa,IDA
0.127083333,2105-IPD-A3033,BGR,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Bulgaria,Europe & Central Asia,IBRD
0.127777778,2105-IPD-A3033,NZL,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,New Zealand,East Asia & Pacific,..
0.128472222,2105-IPD-A3033,NGA,1/1/2016,Ability to limit tax evasion,A3033, 1.00 ,Score,Nigeria,Sub-Saharan Africa,Blend
0.129166667,2105-IPD-A3033,VEN,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,"Venezuela, RB",Latin America & Caribbean,IBRD
0.129861111,2105-IPD-A3033,ITA,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Italy,Europe & Central Asia,..
0.130555556,2105-IPD-A3033,GEO,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Georgia,Europe & Central Asia,IBRD
0.13125,2105-IPD-A3033,UGA,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Uganda,Sub-Saharan Africa,IDA
0.131944444,2105-IPD-A3033,SDN,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Sudan,Sub-Saharan Africa,IDA
0.132638889,2105-IPD-A3033,SOM,1/1/2016,Ability to limit tax evasion,A3033, 1.00 ,Score,Somalia,Sub-Saharan Africa,IDA
0.133333333,2105-IPD-A3033,DOM,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Dominican Republic,Latin America & Caribbean,IBRD
0.134027778,2105-IPD-A3033,SGP,1/1/2012,Ability to limit tax evasion,A3033, 4.00 ,Score,Singapore,East Asia & Pacific,..
0.134722222,2105-IPD-A3033,ARG,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Argentina,Latin America & Caribbean,IBRD
0.135416667,2105-IPD-A3033,ALB,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Albania,Europe & Central Asia,IBRD
0.136111111,2105-IPD-A3033,KEN,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Kenya,Sub-Saharan Africa,Blend
0.136805556,2105-IPD-A3033,KOR,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,"Korea, Rep.",East Asia & Pacific,..
0.1375,2105-IPD-A3033,AFG,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Afghanistan,South Asia,IDA
0.138194444,2105-IPD-A3033,MLI,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Mali,Sub-Saharan Africa,IDA
0.138888889,2105-IPD-A3033,KAZ,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Kazakhstan,Europe & Central Asia,IBRD
0.139583333,2105-IPD-A3033,ISL,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,Iceland,Europe & Central Asia,..
0.140277778,2105-IPD-A3033,UKR,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Ukraine,Europe & Central Asia,IBRD
0.140972222,2105-IPD-A3033,DOM,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,Dominican Republic,Latin America & Caribbean,IBRD
0.141666667,2105-IPD-A3033,ROU,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Romania,Europe & Central Asia,IBRD
0.142361111,2105-IPD-A3033,ISL,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Iceland,Europe & Central Asia,..
0.143055556,2105-IPD-A3033,LBY,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Libya,Middle East & North Africa,IBRD
0.14375,2105-IPD-A3033,PER,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Peru,Latin America & Caribbean,IBRD
0.144444444,2105-IPD-A3033,PHL,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Philippines,East Asia & Pacific,IBRD
0.145138889,2105-IPD-A3033,PRT,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Portugal,Europe & Central Asia,..
0.145833333,2105-IPD-A3033,ECU,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Ecuador,Latin America & Caribbean,IBRD
0.146527778,2105-IPD-A3033,PAN,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Panama,Latin America & Caribbean,IBRD
0.147222222,2105-IPD-A3033,NER,1/1/2016,Ability to limit tax evasion,A3033, 1.00 ,Score,Niger,Sub-Saharan Africa,IDA
0.147916667,2105-IPD-A3033,MAR,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Morocco,Middle East & North Africa,IBRD
0.148611111,2105-IPD-A3033,MNG,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Mongolia,East Asia & Pacific,Blend
0.149305556,2105-IPD-A3033,ZAF,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,South Africa,Sub-Saharan Africa,IBRD
0.15,2105-IPD-A3033,JAM,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Jamaica,Latin America & Caribbean,IBRD
0.150694444,2105-IPD-A3033,PRT,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Portugal,Europe & Central Asia,..
0.151388889,2105-IPD-A3033,GBR,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,United Kingdom,Europe & Central Asia,..
0.152083333,2105-IPD-A3033,COG,1/1/2012,Ability to limit tax evasion,A3033, -   ,Score,"Congo, Rep.",Sub-Saharan Africa,Blend
0.152777778,2105-IPD-A3033,CHN,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,China,East Asia & Pacific,IBRD
0.153472222,2105-IPD-A3033,BFA,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Burkina Faso,Sub-Saharan Africa,IDA
0.154166667,2105-IPD-A3033,GIN,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Guinea,Sub-Saharan Africa,IDA
0.154861111,2105-IPD-A3033,IRL,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Ireland,Europe & Central Asia,..
0.155555556,2105-IPD-A3033,FIN,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Finland,Europe & Central Asia,..
0.15625,2105-IPD-A3033,ETH,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Ethiopia,Sub-Saharan Africa,IDA
0.156944444,2105-IPD-A3033,MMR,1/1/2012,Ability to limit tax evasion,A3033, -   ,Score,Myanmar,East Asia & Pacific,IDA
0.157638889,2105-IPD-A3033,USA,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,United States,North America,..
0.158333333,2105-IPD-A3033,SWE,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,Sweden,Europe & Central Asia,..
0.159027778,2105-IPD-A3033,GRC,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Greece,Europe & Central Asia,..
0.159722222,2105-IPD-A3033,CIV,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Côte d'Ivoire,Sub-Saharan Africa,IDA
0.160416667,2105-IPD-A3033,ZAF,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,South Africa,Sub-Saharan Africa,IBRD
0.161111111,2105-IPD-A3033,KAZ,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Kazakhstan,Europe & Central Asia,IBRD
0.161805556,2105-IPD-A3033,MMR,1/1/2016,Ability to limit tax evasion,A3033, 1.00 ,Score,Myanmar,East Asia & Pacific,IDA
0.1625,2105-IPD-A3033,SAU,1/1/2016,Ability to limit tax evasion,A3033, 99.00 ,Score,Saudi Arabia,Middle East & North Africa,..
0.163194444,2105-IPD-A3033,BDI,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Burundi,Sub-Saharan Africa,IDA
0.163888889,2105-IPD-A3033,LVA,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Latvia,Europe & Central Asia,..
0.164583333,2105-IPD-A3033,KHM,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Cambodia,East Asia & Pacific,IDA
0.165277778,2105-IPD-A3033,POL,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Poland,Europe & Central Asia,IBRD
0.165972222,2105-IPD-A3033,NGA,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Nigeria,Sub-Saharan Africa,Blend
0.166666667,2105-IPD-A3033,NAM,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Namibia,Sub-Saharan Africa,IBRD
0.167361111,2105-IPD-A3033,LKA,1/1/2016,Ability to limit tax evasion,A3033, 99.00 ,Score,Sri Lanka,South Asia,IBRD
0.168055556,2105-IPD-A3033,PRY,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Paraguay,Latin America & Caribbean,IBRD
0.16875,2105-IPD-A3033,QAT,1/1/2016,Ability to limit tax evasion,A3033, 99.00 ,Score,Qatar,Middle East & North Africa,..
0.169444444,2105-IPD-A3033,RWA,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Rwanda,Sub-Saharan Africa,IDA
0.170138889,2105-IPD-A3033,HKG,1/1/2012,Ability to limit tax evasion,A3033, 4.00 ,Score,"Hong Kong SAR, China",East Asia & Pacific,..
0.170833333,2105-IPD-A3033,PAK,1/1/2016,Ability to limit tax evasion,A3033, 1.00 ,Score,Pakistan,South Asia,Blend
0.171527778,2105-IPD-A3033,HUN,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Hungary,Europe & Central Asia,..
0.172222222,2105-IPD-A3033,ARM,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Armenia,Europe & Central Asia,IBRD
0.172916667,2105-IPD-A3033,TZA,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Tanzania,Sub-Saharan Africa,IDA
